id^type^available_status^available_balance^url^vendor^price^currencyId^categoryId^video^delivery^vendorCode^name^description^country_of_origin^basic_category_path^pictures^categories^sale_price^wholesale_price^size^country_name^options^attributes
38336^vendor.model^true^^https://finedesigngroup.ru/products/polka-knizhnaya-conceal-bolshaya-stal-38336/?r1=yandext&r2=^Umbra^1100^RUB^1194^https://www.youtube.com/watch?v=r4szvOKFTjI^true^330633-560^~Полка книжная conceal большая сталь~^~Удивительная книжная полка! Победитель конкурса FORM во Франкфурте и международных соревнований за лучший дизайн - Pratt design competition. Запатентованна в США и Канаде. При взгляде на книжки, просто висящие в воздухе, всем хочется задать один и тот же вопрос: "Что это такое, и в чем же секрет"? А секрет в конструкции этой полки - простой и совершенной, которая будет постоянно удивлять Ваших гостей.<br />
<br />
Полка легко крепится к стене, все необходимое уже входит в комплект.~^Китай^^https://finedesigngroup.ru/upload/iblock/95b/95b9e0482f5035ff94902d50b12b8bbc.jpeg,https://finedesigngroup.ru/upload/iblock/78a/78aa1fbdd3beb237dd2ae49def61cdf9.jpeg,https://finedesigngroup.ru/upload/iblock/37f/37fc11b5514b61c106ff9ff41ca3613f.jpeg,https://finedesigngroup.ru/upload/iblock/16d/16d3510ef300f7c5484d97aa69bc0ca0.jpeg^~Товары для дома/Декор стен~^^^^Китай^~select|color|металлик|0|100|0|+|1100|+|0|+|0|---select|material|сталь|0|100|0|+|1100|+|0|+|0|---select|ШтрихКод|028295171953|0|100|0|+|1100|+|0|+|0|---select|Высота|14|0|100|0|+|1100|+|0|+|0|---select|Длина|18|0|100|0|+|1100|+|0|+|0|---select|Глубина|18|0|100|0|+|1100|+|0|+|0|---select|СтранаБренда|Канада|0|100|0|+|1100|+|0|+|0|---select|stock|1|0|100|0|+|1100|+|0|+|0|---select|Вес, кг|0.48|0|100|0|+|1100|+|0|+|0|~^~color---металлик|material---сталь|ШтрихКод---028295171953|Высота---14|Длина---18|Глубина---18|СтранаБренда---Канада|stock---1|Вес, кг---0.48|Страна производитель---Китай~
39048^vendor.model^true^^https://finedesigngroup.ru/products/sokovyzhimalka-catcher-seraya-39048/?r1=yandext&r2=^~Joseph Joseph~^1190^RUB^1189^^true^REAM0100AS^~Соковыжималка catcher™ серая~^~Соковыжималка для цитрусовых с ситом для косточек. Благодаря резиновому дуршлагу под наконечником, косточки и жмых не попадают в сок. <br />
Эргономичная круглая рукоятка обеспечивает комфорт и простоту в применении.~^Китай^^https://finedesigngroup.ru/upload/iblock/b98/b98fb9d1377b0cbb3d2fd3aca26ffe7d.jpeg,https://finedesigngroup.ru/upload/iblock/b6f/b6f4204c79953b87a152ba0f2df0ca98.jpeg^~Посуда и все для кухни/Приготовление пищи~^^^^Китай^~select|color|графит|0|100|0|+|1190|+|0|+|0|---select|material|полипропилен|0|100|0|+|1190|+|0|+|0|---select|ШтрихКод|5028420093476|0|100|0|+|1190|+|0|+|0|---select|Высота|8|0|100|0|+|1190|+|0|+|0|---select|Длина|16,5|0|100|0|+|1190|+|0|+|0|---select|Глубина|8|0|100|0|+|1190|+|0|+|0|---select|СтранаБренда|Великобритания|0|100|0|+|1190|+|0|+|0|---select|stock|138|0|100|0|+|1190|+|0|+|0|---select|Вес, кг|0.1|0|100|0|+|1190|+|0|+|0|~^~color---графит|material---полипропилен|ШтрихКод---5028420093476|Высота---8|Длина---16,5|Глубина---8|СтранаБренда---Великобритания|stock---138|Вес, кг---0.1|Страна производитель---Китай~
38926^vendor.model^true^^https://finedesigngroup.ru/products/doska-razdelochnaya-chop2pot-plus-srednyaya-krasnaya-38926/?r1=yandext&r2=^~Joseph Joseph~^1590^RUB^1189^https://www.youtube.com/watch?v=Pvp1pxqf2V0^true^NSR016SW^~Доска разделочная chop2pot™ plus средняя красная~^~Уникальная складная доска, которая принесла бренду Joseph Joseph мировую известность и ряд престижных наград. В плоском состоянии она предоставляет надёжную поверхность для разделывания любых продуктов. В результате лёгкого сжатия рукоятки края доски аккуратно складываются, образуя удобный совок, который позволит аккуратно переложить нарезанные ингредиенты в нужную ёмкость.<br />
Обновлённая версия этого прибора включает сразу несколько бонусов. Среди них — текстурная поверхность для резки, мягкая прорезиненная рукоятка и нескользящая основа.<br />
Можно мыть в посудомоечной машине.<br />
аккуратно складываются, образуя удобный совок, который позволит аккуратно переложить нарезанные ингредиенты в нужную ёмкость.<br />
Обновлённая версия этого прибора включает сразу несколько  бонусов. Среди них — текстурная поверхность для резки, мягкая прорезиненная рукоятка и нескользящие ножки.<br />
